name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-7403,NO,95.9,90.8,101,1.113,0.2,0.33,0.47,6.4e-01,1.0e+00,0.9998,2624,75.3,113.5,83.6,100.9,129,73.2
GENE-7404,NO,69.7,65.2,74.1,1.136,0.2,0.33,0.55,5.8e-01,1.0e+00,0.9998,2625,86.2,48.8,60.7,61.3,76.8,84.1
GENE-7405,NO,2.6,3,2.3,0.773,-0.4,1.13,-0.33,7.4e-01,1.0e+00,0.9998,2626,2,2,5,3,2,2
GENE-7407,NO,169.6,175.6,163.6,0.932,-0.1,0.23,-0.45,6.6e-01,1.0e+00,0.9998,2627,162.5,179.2,185.1,165.2,183.1,142.5
GENE-7408,NO,524.5,504.5,544.4,1.079,0.1,0.18,0.59,5.5e-01,1.0e+00,0.9998,2628,459.7,525.6,528.3,580.8,533.7,518.6
GENE-7411,NO,191.4,169.2,213.6,1.262,0.3,0.37,0.9,3.7e-01,1.0e+00,0.9998,2629,170.4,165.2,172.1,329.5,118.2,193
GENE-7421,NO,6.4,6.3,6.6,1.046,0.1,0.81,0.08,9.4e-01,1.0e+00,0.9998,2630,2,10,7,6.9,4.9,7.9
GENE-7423,NO,12.4,10.6,14.2,1.336,0.4,0.54,0.77,4.4e-01,1.0e+00,0.9998,2631,9.9,10,11.9,11.9,16.7,13.9
GENE-7427,NO,2.6,2,3.3,1.657,0.7,1.15,0.63,5.3e-01,1.0e+00,0.9998,2632,1,2,3,4.9,2,3
GENE-7430,NO,2841.1,2851.5,2830.6,0.993,0,0.16,-0.07,9.5e-01,1.0e+00,0.9998,2633,2855.2,2752.4,2947,2768.5,2950,2773.2
GENE-7438,NO,53,52.3,53.7,1.026,0,0.39,0.1,9.2e-01,1.0e+00,0.9998,2634,58.5,36.8,61.7,65.3,34.5,61.4
GENE-7441,NO,97.2,94.1,100.4,1.068,0.1,0.25,0.38,7.0e-01,1.0e+00,0.9998,2635,100.1,91.6,90.5,96,110.3,95
GENE-7443,NO,44.1,40.4,47.8,1.182,0.2,0.34,0.71,4.8e-01,1.0e+00,0.9998,2636,44.6,32.9,43.8,53.4,39.4,50.5
GENE-7453,NO,13.5,13.2,13.8,1.044,0.1,0.54,0.11,9.1e-01,1.0e+00,0.9998,2637,12.9,12.9,13.9,19.8,11.8,9.9
GENE-7454,NO,75.6,76.5,74.7,0.977,0,0.28,-0.12,9.0e-01,1.0e+00,0.9998,2638,66.4,90.6,72.6,73.2,80.7,70.3
GENE-7455,NO,361,340,381.9,1.123,0.2,0.37,0.45,6.5e-01,1.0e+00,0.9998,2639,218,452.9,349.2,356.2,254,535.4
GENE-7456,NO,110.9,128.5,93.2,0.726,-0.5,0.51,-0.91,3.6e-01,1.0e+00,0.9998,2640,138.7,40.8,206,87.1,77.8,114.8
GENE-7458,NO,2449.1,2731.9,2166.3,0.793,-0.3,0.3,-1.13,2.6e-01,1.0e+00,0.9998,2641,2178.5,3453.2,2564,1969,2885,1644.9
GENE-7463,NO,242.3,171.3,313.4,1.829,0.9,2.01,0.43,6.6e-01,1.0e+00,0.9998,2642,94.1,94.6,325.3,0,225.5,714.6
GENE-7467,NO,624.7,623.5,625.9,1.004,0,0.19,0.03,9.8e-01,1.0e+00,0.9998,2643,575.6,623.2,671.6,641.2,682.3,554.3
GENE-7468,NO,610.8,593.2,628.5,1.059,0.1,0.21,0.4,6.9e-01,1.0e+00,0.9998,2644,617.2,622.2,540.3,562,733.6,589.9
GENE-7480,NO,77.2,86.5,67.9,0.785,-0.3,0.3,-1.18,2.4e-01,1.0e+00,0.9998,2645,88.2,82.6,88.6,87.1,57.1,59.4
GENE-7485,NO,2.6,2,3.3,1.657,0.7,1.13,0.65,5.2e-01,1.0e+00,0.9998,2646,1,2,3,4,3,3
GENE-7490,NO,1268.6,1238.2,1299,1.049,0.1,0.17,0.4,6.9e-01,1.0e+00,0.9998,2647,1195.8,1355.8,1163.1,1281.3,1370.6,1245.1
GENE-7495,NO,73.2,75.2,71.1,0.946,-0.1,0.27,-0.3,7.6e-01,1.0e+00,0.9998,2648,75.3,68.7,81.6,73.2,70.9,69.3
GENE-7496,NO,50,48.7,51.4,1.055,0.1,0.44,0.17,8.6e-01,1.0e+00,0.9998,2649,52.5,38.8,54.7,75.2,54.2,24.7
GENE-7502,NO,7.4,6.6,8.2,1.243,0.3,0.72,0.43,6.6e-01,1.0e+00,0.9998,2650,6.9,10,3,7.9,7.9,8.9
GENE-7503,NO,65.9,66.6,65.2,0.979,0,0.37,-0.08,9.3e-01,1.0e+00,0.9998,2651,59.4,85.6,54.7,41.6,71.9,82.1
GENE-7505,NO,318.8,329.4,308.2,0.936,-0.1,0.48,-0.2,8.4e-01,1.0e+00,0.9998,2652,415.1,190.1,383.1,478.9,125,320.7
GENE-7506,NO,1.8,1.3,2.3,1.738,0.8,1.48,0.54,5.9e-01,1.0e+00,0.9998,2653,0,1,3,1,3,3
GENE-7508,NO,1.7,2,1.3,0.663,-0.6,1.37,-0.43,6.7e-01,1.0e+00,0.9998,2654,2,2,2,1,2,1
GENE-7510,NO,5.4,3,7.9,2.653,1.4,1.38,1.02,3.1e-01,1.0e+00,0.9998,2655,1,0,8,3,1,19.8
GENE-7512,NO,95.4,92.4,98.5,1.066,0.1,0.25,0.36,7.2e-01,1.0e+00,0.9998,2656,96.1,88.6,92.5,91,92.6,111.8
GENE-7513,NO,3.8,3.3,4.3,1.292,0.4,1.09,0.34,7.3e-01,1.0e+00,0.9998,2657,0,5,5,4.9,3,4.9
GENE-7514,NO,2.5,1.3,3.6,2.733,1.5,1.23,1.18,2.4e-01,1.0e+00,0.9998,2658,1,2,1,4.9,3.9,2
GENE-7518,NO,21.8,22.5,21.1,0.936,-0.1,0.45,-0.21,8.3e-01,1.0e+00,0.9998,2659,16.8,21.9,28.9,18.8,17.7,26.7
GENE-7523,NO,9.4,10,8.9,0.895,-0.2,0.66,-0.24,8.1e-01,1.0e+00,0.9998,2660,12.9,10,7,12.9,8.9,4.9
GENE-7529,NO,52.2,55.3,49.1,0.887,-0.2,0.32,-0.54,5.9e-01,1.0e+00,0.9998,2661,58.5,48.8,58.7,58.4,49.2,39.6
GENE-7542,NO,79,79.8,78.1,0.978,0,0.33,-0.1,9.2e-01,1.0e+00,0.9998,2662,68.4,79.6,91.5,104.9,59.1,70.3
GENE-7543,NO,281.2,239.6,322.8,1.348,0.4,0.31,1.4,1.6e-01,1.0e+00,0.9998,2663,192.2,245.9,280.6,242.4,282.6,443.4
GENE-7544,NO,397.3,440.2,354.3,0.805,-0.3,0.22,-1.42,1.6e-01,1.0e+00,0.9998,2664,428,448,444.7,417.6,356.4,289
GENE-7553,NO,24.3,25.9,22.7,0.879,-0.2,0.55,-0.34,7.4e-01,1.0e+00,0.9998,2665,11.9,40.8,24.9,25.7,28.6,13.9
GENE-7554,NO,5.3,5,5.6,1.127,0.2,0.8,0.21,8.3e-01,1.0e+00,0.9998,2666,5,4,6,5.9,6.9,4
GENE-7555,NO,179.3,174.6,184,1.054,0.1,0.27,0.28,7.8e-01,1.0e+00,0.9998,2667,172.4,196.1,155.2,163.3,238.3,150.4
GENE-7566,NO,1.5,0.7,2.3,3.482,1.8,1.85,0.97,3.3e-01,1.0e+00,0.9998,2668,1,0,1,0,2,4.9
GENE-7574,NO,418.8,448.2,389.4,0.869,-0.2,0.23,-0.88,3.8e-01,1.0e+00,0.9998,2669,418.1,472.8,453.7,381.9,469.7,316.7
GENE-7577,NO,8.9,8.6,9.2,1.071,0.1,0.66,0.15,8.8e-01,1.0e+00,0.9998,2670,12.9,6,7,7.9,7.9,11.9
GENE-7579,NO,423.2,426.9,419.5,0.983,0,0.18,-0.14,8.9e-01,1.0e+00,0.9998,2671,412.1,406.1,462.6,403.7,432.3,422.6
GENE-7583,NO,4.5,4.3,4.6,1.069,0.1,0.97,0.1,9.2e-01,1.0e+00,0.9998,2672,1,7,5,3,6.9,4
GENE-7587,NO,19.7,19.2,20.1,1.045,0.1,0.55,0.12,9.1e-01,1.0e+00,0.9998,2673,12.9,29.9,14.9,27.7,20.7,11.9
GENE-7590,NO,154.7,164.9,144.5,0.876,-0.2,0.27,-0.71,4.8e-01,1.0e+00,0.9998,2674,183.3,140.4,171.1,112.8,171.3,149.4
GENE-7599,NO,549.2,512.9,585.6,1.142,0.2,0.22,0.89,3.7e-01,1.0e+00,0.9998,2675,443.8,595.3,499.5,546.2,553.4,657.2
GENE-7602,NO,105.4,107.6,103.1,0.958,-0.1,0.26,-0.24,8.1e-01,1.0e+00,0.9998,2676,111.9,101.5,109.4,114.8,82.7,111.8
GENE-7605,NO,3111.5,2952.7,3270.4,1.108,0.1,0.2,0.74,4.6e-01,1.0e+00,0.9998,2677,2649.1,2721.6,3487.3,3209.8,3485.6,3115.7
GENE-7609,NO,120.9,121.6,120.2,0.989,0,0.31,-0.05,9.6e-01,1.0e+00,0.9998,2678,85.2,144.3,135.3,144.5,108.3,107.9
GENE-7611,NO,89.8,94.7,85,0.897,-0.2,0.3,-0.52,6.0e-01,1.0e+00,0.9998,2679,98.1,75.7,110.4,69.3,82.7,102.9
GENE-7612,YES,8.3,12.2,4.3,0.349,-1.5,0.97,-1.57,1.2e-01,1.0e+00,0.9998,2680,16.8,2,17.9,4,7.9,1
GENE-7616,NO,23,20.9,25,1.2,0.3,0.43,0.61,5.4e-01,1.0e+00,0.9998,2681,22.8,17.9,21.9,26.7,18.7,29.7
GENE-7623,NO,63.7,55.7,71.7,1.289,0.4,0.5,0.73,4.6e-01,1.0e+00,0.9998,2682,35.7,98.6,32.8,47.5,99.4,68.3
GENE-7626,NO,3.8,2.7,4.9,1.866,0.9,1.02,0.89,3.8e-01,1.0e+00,0.9998,2683,5,2,1,5.9,3,5.9
GENE-7628,NO,20.8,16.2,25.4,1.563,0.6,0.51,1.25,2.1e-01,1.0e+00,0.9998,2684,12.9,24.9,10.9,32.7,17.7,25.7
GENE-7630,NO,3.3,4,2.7,0.663,-0.6,1.04,-0.57,5.7e-01,1.0e+00,0.9998,2685,4,6,2,4,2,2
GENE-7633,NO,320.5,312.7,328.3,1.05,0.1,0.21,0.34,7.4e-01,1.0e+00,0.9998,2685,305.1,335.5,297.5,319.6,372.2,293
GENE-7634,NO,78.7,71.2,86.3,1.212,0.3,0.3,0.91,3.6e-01,1.0e+00,0.9998,2686,73.3,51.8,88.6,82.1,90.6,86.1
GENE-7635,NO,12.2,10.6,13.8,1.306,0.4,0.63,0.61,5.4e-01,1.0e+00,0.9998,2687,15.9,6,9.9,15.8,7.9,17.8
GENE-7637,NO,70,83.5,56.6,0.678,-0.6,0.54,-1.04,3.0e-01,1.0e+00,0.9998,2688,106,97.6,46.8,68.3,82.7,18.8
GENE-7640,NO,56,63.6,48.4,0.761,-0.4,0.36,-1.09,2.8e-01,1.0e+00,0.9998,2689,49.5,52.8,88.6,46.5,57.1,41.6
GENE-7648,NO,138.9,136.5,141.3,1.035,0.1,0.27,0.19,8.5e-01,1.0e+00,0.9998,2690,125.8,124.4,159.2,127.6,124.1,172.2
GENE-7652,NO,2047.5,2163.3,1931.7,0.893,-0.2,0.26,-0.64,5.2e-01,1.0e+00,0.9998,2691,2819.5,1773.9,1896.4,2181.8,1936.8,1676.6
GENE-7658,NO,1130.6,1183.6,1077.6,0.911,-0.1,0.34,-0.4,6.9e-01,1.0e+00,0.9998,2692,872.8,1135.8,1542.2,1394.1,1157.9,680.9
GENE-7660,NO,45.7,39.1,52.4,1.34,0.4,0.33,1.27,2.0e-01,1.0e+00,0.9998,2693,40.6,38.8,37.8,48.5,44.3,64.3
GENE-7665,NO,95.8,96.4,95.2,0.987,0,0.26,-0.07,9.4e-01,1.0e+00,0.9998,2694,89.2,98.6,101.5,107.9,98.5,79.2
GENE-7672,NO,19.2,18.9,19.4,1.029,0,0.54,0.08,9.4e-01,1.0e+00,0.9998,2695,14.9,14.9,26.9,18.8,10.8,28.7
GENE-7675,NO,6719.2,6833.6,6604.8,0.967,0,0.19,-0.26,7.9e-01,1.0e+00,0.9998,2696,6058.1,7887,6555.7,6790.6,6516.3,6507.5
GENE-7676,NO,36.5,34.5,38.5,1.118,0.2,0.39,0.41,6.8e-01,1.0e+00,0.9998,2697,27.7,27.9,47.8,36.6,33.5,45.5
GENE-7677,NO,68.9,64.9,72.9,1.123,0.2,0.61,0.28,7.8e-01,1.0e+00,0.9998,2698,90.2,53.8,50.7,125.7,15.8,77.2
GENE-7678,NO,230.4,208.7,252,1.208,0.3,0.27,1,3.2e-01,1.0e+00,0.9998,2699,199.1,251.9,175.1,293.9,195,267.2
GENE-7681,NO,61.9,64.9,59,0.908,-0.1,0.31,-0.45,6.6e-01,1.0e+00,0.9998,2700,59.4,75.7,59.7,49.5,55.1,72.3
GENE-7684,NO,2.3,3.7,1,0.271,-1.9,1.43,-1.31,1.9e-01,1.0e+00,0.9998,2701,1,6,4,1,0,2
GENE-7690,NO,64.8,65.9,63.6,0.964,-0.1,0.32,-0.16,8.7e-01,1.0e+00,0.9998,2702,53.5,80.6,63.7,68.3,49.2,73.2
GENE-7692,NO,1487.6,1441.8,1533.3,1.063,0.1,0.32,0.28,7.8e-01,1.0e+00,0.9998,2703,1056.1,1771.9,1497.4,2071.9,1081.1,1447
GENE-7702,NO,2.5,1.7,3.3,1.99,1,1.23,0.81,4.2e-01,1.0e+00,0.9998,2704,2,2,1,4.9,1,4
GENE-7703,NO,2.8,1.3,4.3,3.232,1.7,1.18,1.44,1.5e-01,1.0e+00,0.9998,2705,1,2,1,5.9,3,4
GENE-7710,NO,35.4,35.8,34.9,0.975,0,0.46,-0.08,9.4e-01,1.0e+00,0.9998,2706,20.8,56.7,29.8,34.6,28.6,41.6
GENE-7715,NO,14.2,12.6,15.8,1.255,0.3,0.54,0.61,5.5e-01,1.0e+00,0.9998,2707,10.9,11.9,14.9,16.8,20.7,9.9
GENE-7722,NO,31.2,34.1,28.3,0.83,-0.3,0.44,-0.61,5.4e-01,1.0e+00,0.9998,2708,34.7,47.8,19.9,31.7,29.5,23.8
GENE-7724,NO,1.7,1.7,1.7,0.993,0,1.43,-0.01,9.9e-01,1.0e+00,0.9998,2709,1,1,3,1,3,1
GENE-7728,NO,14.7,14.2,15.2,1.064,0.1,0.56,0.16,8.7e-01,1.0e+00,0.9998,2710,17.8,14.9,9.9,14.8,8.9,21.8
GENE-7732,NO,1320,1271.6,1368.4,1.076,0.1,0.27,0.39,6.9e-01,1.0e+00,0.9998,2711,1096.7,1730.1,988,1475.3,1284.9,1345
GENE-7735,NO,2.1,1.3,3,2.237,1.2,1.5,0.77,4.4e-01,1.0e+00,0.9998,2712,1,1,2,6.9,2,0
GENE-7736,NO,230.3,222.2,238.4,1.073,0.1,0.22,0.47,6.4e-01,1.0e+00,0.9998,2713,236.8,233.9,196,260.2,215.6,239.5
GENE-7742,NO,728.4,766.5,690.4,0.901,-0.2,0.24,-0.62,5.4e-01,1.0e+00,0.9998,2714,748,899.9,651.7,679.8,828.1,563.2
GENE-7748,NO,1.8,2.3,1.3,0.568,-0.8,1.38,-0.59,5.5e-01,1.0e+00,0.9998,2715,4,1,2,1,2,1
GENE-7753,NO,222.6,231.2,214.1,0.926,-0.1,0.21,-0.54,5.9e-01,1.0e+00,0.9998,2716,250.6,219,223.9,198.9,219.6,223.7
GENE-7763,NO,3.5,3.3,3.6,1.094,0.1,1.05,0.12,9.0e-01,1.0e+00,0.9998,2717,5,2,3,4.9,4.9,1
GENE-7767,NO,14.8,11.6,18.1,1.561,0.6,0.56,1.15,2.5e-01,1.0e+00,0.9998,2718,10.9,9,14.9,10.9,25.6,17.8
GENE-7773,NO,28.7,23.8,33.6,1.408,0.5,0.41,1.2,2.3e-01,1.0e+00,0.9998,2719,27.7,19.9,23.9,31.7,43.3,25.7
GENE-7776,NO,31.9,35.4,28.3,0.799,-0.3,0.37,-0.87,3.9e-01,1.0e+00,0.9998,2720,31.7,41.8,32.8,23.7,29.5,31.7
GENE-7777,NO,606.3,603.9,608.6,1.008,0,0.2,0.06,9.6e-01,1.0e+00,0.9998,2721,558.8,683.9,569.1,568.9,587.8,669.1
GENE-7788,NO,851,915.2,786.8,0.86,-0.2,0.21,-1.03,3.0e-01,1.0e+00,0.9998,2722,904.5,804.3,1036.7,691.6,770,898.7
GENE-7789,NO,408.8,421.8,395.7,0.938,-0.1,0.3,-0.3,7.6e-01,1.0e+00,0.9998,2723,527,450.9,287.5,458.1,302.3,426.6
GENE-7791,NO,2.8,1.7,4,2.391,1.3,1.31,0.96,3.4e-01,1.0e+00,0.9998,2724,4,0,1,6.9,2,3
GENE-7793,NO,9.7,11.3,8.2,0.731,-0.5,0.66,-0.68,4.9e-01,1.0e+00,0.9998,2725,13.9,8,11.9,8.9,11.8,4
GENE-7795,NO,325.6,258,393.2,1.523,0.6,0.42,1.46,1.4e-01,1.0e+00,0.9998,2726,221.9,168.2,384,368.1,231.4,580
GENE-7797,NO,379.9,393.1,366.6,0.932,-0.1,0.22,-0.46,6.5e-01,1.0e+00,0.9998,2727,421,437,321.4,381.9,338.7,379.1
GENE-7800,NO,152.2,157.1,147.4,0.939,-0.1,0.33,-0.28,7.8e-01,1.0e+00,0.9998,2728,128.8,178.2,164.2,111.8,209.7,120.7
GENE-7809,NO,13,12.6,13.5,1.072,0.1,0.58,0.17,8.6e-01,1.0e+00,0.9998,2729,10.9,18.9,8,16.8,13.8,9.9
GENE-7812,NO,3.5,2.3,4.6,1.989,1,1.06,0.94,3.5e-01,1.0e+00,0.9998,2730,3,1,3,2,4.9,6.9
GENE-7819,NO,30.2,22.6,37.9,1.681,0.7,0.44,1.71,8.8e-02,1.0e+00,0.9998,2731,14.9,23.9,28.9,36.6,27.6,49.5
GENE-7829,NO,13.4,14.9,11.8,0.795,-0.3,0.54,-0.61,5.4e-01,1.0e+00,0.9998,2732,13.9,18.9,11.9,10.9,9.8,14.8
GENE-7830,NO,216.8,227.2,206.5,0.909,-0.1,0.25,-0.56,5.8e-01,1.0e+00,0.9998,2733,268.5,237.9,175.1,206.8,203.8,208.8
GENE-7836,NO,6.9,7.6,6.3,0.821,-0.3,0.79,-0.36,7.2e-01,1.0e+00,0.9998,2734,6.9,7,9,2,5.9,10.9
GENE-7837,NO,1153.6,1132,1175.2,1.038,0.1,0.22,0.24,8.1e-01,1.0e+00,0.9998,2735,1250.3,1228.4,917.3,1283.3,1227.8,1014.5
GENE-7841,NO,24.3,22.2,26.4,1.188,0.2,0.45,0.55,5.8e-01,1.0e+00,0.9998,2736,31.7,18.9,15.9,30.7,25.6,22.8
GENE-7845,NO,5.3,5.3,5.3,0.993,0,0.95,-0.01,9.9e-01,1.0e+00,0.9998,2737,4,6,6,1,10.8,4
GENE-7846,NO,61.6,66.5,56.7,0.853,-0.2,1.75,-0.13,9.0e-01,1.0e+00,0.9998,2738,133.7,40.8,24.9,74.2,0,96
GENE-7848,NO,3.3,1.3,5.3,3.985,2,1.51,1.32,1.9e-01,1.0e+00,0.9998,2739,2,0,2,4,0,11.9
GENE-7853,NO,112.6,104.7,120.5,1.152,0.2,0.3,0.68,5.0e-01,1.0e+00,0.9998,2740,119.9,70.7,123.4,127.6,124.1,109.9
GENE-7858,NO,1.8,2.7,1,0.373,-1.4,1.5,-0.95,3.4e-01,1.0e+00,0.9998,2741,1,4,3,0,1,2
GENE-7859,NO,6.9,9.3,4.6,0.496,-1,0.98,-1.03,3.0e-01,1.0e+00,0.9998,2742,8.9,7,11.9,3,10.8,0
GENE-7864,NO,277.9,273.6,282.3,1.032,0,0.24,0.19,8.5e-01,1.0e+00,0.9998,2743,283.3,221,316.4,298.8,252.1,295.9
GENE-7876,NO,4.8,5.7,3.9,0.701,-0.5,0.89,-0.57,5.7e-01,1.0e+00,0.9998,2744,3,7,7,5.9,3.9,2
GENE-7879,NO,41.1,43.4,38.9,0.896,-0.2,0.36,-0.44,6.6e-01,1.0e+00,0.9998,2745,34.7,46.8,48.8,41.6,29.5,45.5
GENE-7880,NO,236.1,263.4,208.7,0.793,-0.3,0.27,-1.26,2.1e-01,1.0e+00,0.9998,2746,235.8,313.6,240.8,159.3,228.4,238.5
GENE-7883,NO,22,24.1,19.8,0.819,-0.3,0.64,-0.45,6.5e-01,1.0e+00,0.9998,2747,45.6,13.9,12.9,16.8,11.8,30.7
GENE-7885,NO,3528.7,3557.6,3499.8,0.984,0,0.2,-0.12,9.1e-01,1.0e+00,0.9998,2748,3448.6,3998.7,3225.6,3781.7,2968.7,3749.1
GENE-7886,NO,3.8,3.3,4.3,1.293,0.4,1.16,0.32,7.5e-01,1.0e+00,0.9998,2749,6.9,3,0,4.9,5.9,2
GENE-7890,NO,1036.7,759,1314.4,1.732,0.8,0.92,0.86,3.9e-01,1.0e+00,0.9998,2750,820.3,321.5,1135.2,2170.9,244.2,1528.1
GENE-7891,NO,248.8,240.4,257.1,1.069,0.1,0.22,0.43,6.7e-01,1.0e+00,0.9998,2751,254.6,215,251.7,248.4,296.4,226.6
GENE-7892,NO,7.1,7,7.2,1.041,0.1,0.73,0.08,9.4e-01,1.0e+00,0.9998,2752,4,6,10.9,6.9,6.9,7.9
GENE-7896,NO,11.7,9.6,13.8,1.44,0.5,0.62,0.84,4.0e-01,1.0e+00,0.9998,2753,11.9,11.9,5,8.9,18.7,13.9
GENE-7898,NO,219.1,224.3,214,0.954,-0.1,0.25,-0.27,7.9e-01,1.0e+00,0.9998,2754,216,250.9,206,208.8,259.9,173.2
GENE-7907,NO,1058.4,1076.4,1040.3,0.966,0,0.2,-0.25,8.1e-01,1.0e+00,0.9998,2755,1143.3,1194.5,891.5,1065.6,1028.9,1026.4
GENE-7910,NO,2.1,2,2.3,1.16,0.2,1.25,0.17,8.6e-01,1.0e+00,0.9998,2756,3,1,2,1,3,3
GENE-7913,NO,28.1,31.5,24.7,0.785,-0.3,0.38,-0.91,3.6e-01,1.0e+00,0.9998,2757,34.7,27.9,31.8,22.8,22.6,28.7
GENE-7921,NO,75.6,75.8,75.4,0.995,0,0.33,-0.02,9.8e-01,1.0e+00,0.9998,2758,99.1,59.7,68.7,64.3,67,95
GENE-7922,NO,234.2,272.3,196,0.72,-0.5,0.33,-1.42,1.6e-01,1.0e+00,0.9998,2759,240.7,203.1,373.1,239.4,137.8,210.8
GENE-7933,NO,149.3,168.5,130.1,0.772,-0.4,0.3,-1.24,2.1e-01,1.0e+00,0.9998,2760,194.2,124.4,187,145.5,146.7,98
GENE-7937,NO,859.7,877,842.3,0.96,-0.1,0.24,-0.25,8.1e-01,1.0e+00,0.9998,2761,950.1,949.7,731.3,863.8,680.4,982.8
GENE-7939,NO,10.7,12.2,9.2,0.752,-0.4,0.68,-0.61,5.4e-01,1.0e+00,0.9998,2762,5.9,19.9,10.9,5.9,8.9,12.9
GENE-7940,NO,29.4,32.1,26.7,0.831,-0.3,0.45,-0.59,5.5e-01,1.0e+00,0.9998,2763,43.6,26.9,25.9,34.6,16.7,28.7
GENE-7945,NO,2,2,2,0.994,0,1.29,-0.01,9.9e-01,1.0e+00,0.9998,2764,3,2,1,2,3,1
GENE-7953,NO,26.6,25.9,27.3,1.058,0.1,0.38,0.21,8.3e-01,1.0e+00,0.9998,2765,24.8,27.9,24.9,25.7,29.5,26.7
GENE-7955,NO,853.2,850.1,856.4,1.007,0,0.21,0.05,9.6e-01,1.0e+00,0.9998,2766,947.1,842.2,761.1,802.5,784.8,981.8
GENE-7957,NO,7.8,7.9,7.6,0.953,-0.1,0.67,-0.1,9.2e-01,1.0e+00,0.9998,2767,6.9,7,9.9,8.9,6.9,6.9
GENE-7961,NO,42.4,39.7,45.1,1.135,0.2,0.38,0.48,6.3e-01,1.0e+00,0.9998,2768,43.6,40.8,34.8,49.5,57.1,28.7
GENE-7971,NO,19.6,14.2,25,1.76,0.8,0.72,1.13,2.6e-01,1.0e+00,0.9998,2769,27.7,12.9,2,29.7,16.7,28.7
GENE-7983,NO,146.3,139.4,153.2,1.099,0.1,0.29,0.47,6.4e-01,1.0e+00,0.9998,2770,143.7,106.5,168.1,176.1,123.1,160.3
GENE-7984,NO,52.5,48.1,56.9,1.183,0.2,1.37,0.18,8.6e-01,1.0e+00,0.9998,2771,2,105.5,36.8,12.9,99.4,58.4
GENE-7985,NO,79.6,77.8,81.3,1.045,0.1,0.27,0.23,8.2e-01,1.0e+00,0.9998,2772,74.3,84.6,74.6,70.3,90.6,83.1
GENE-7986,NO,1966.9,2005.9,1928,0.961,-0.1,0.18,-0.31,7.5e-01,1.0e+00,0.9998,2773,2238,1762,2017.7,1893.8,2007.7,1882.5
GENE-7992,NO,2,1,3,2.987,1.6,1.48,1.07,2.9e-01,1.0e+00,0.9998,2774,2,1,0,4.9,1,3
GENE-8002,NO,5.6,6.3,5,0.785,-0.3,0.8,-0.43,6.6e-01,1.0e+00,0.9998,2775,6.9,6,6,4,3,7.9
GENE-8006,NO,701.2,694.4,707.9,1.019,0,0.32,0.09,9.3e-01,1.0e+00,0.9998,2776,1037.3,547.5,498.5,707.5,767,649.3
GENE-8007,NO,143.4,160.4,126.5,0.789,-0.3,0.28,-1.22,2.2e-01,1.0e+00,0.9998,2777,121.9,156.3,203,122.7,116.2,140.5
GENE-8010,NO,17.4,17.9,16.8,0.939,-0.1,0.57,-0.16,8.7e-01,1.0e+00,0.9998,2778,8.9,22.9,21.9,12.9,12.8,24.7
GENE-8014,NO,814.2,856.7,771.7,0.901,-0.2,0.22,-0.69,4.9e-01,1.0e+00,0.9998,2779,777.7,939.7,852.7,626.3,875.3,813.6
GENE-8017,NO,8.6,8.9,8.2,0.92,-0.1,0.67,-0.18,8.6e-01,1.0e+00,0.9998,2780,8.9,12.9,5,6.9,8.9,8.9
GENE-8020,NO,75.4,86.5,64.3,0.743,-0.4,0.31,-1.4,1.6e-01,1.0e+00,0.9998,2781,72.3,108.5,78.6,67.3,54.2,71.3
GENE-8021,NO,52.9,48.3,57.4,1.187,0.2,0.86,0.29,7.7e-01,1.0e+00,0.9998,2782,69.3,45.8,29.8,11.9,9.8,150.4
GENE-8023,NO,70.4,70.6,70.1,0.994,0,0.28,-0.03,9.8e-01,1.0e+00,0.9998,2783,65.4,64.7,81.6,67.3,68.9,74.2
GENE-8028,NO,847.7,862.9,832.5,0.965,-0.1,0.19,-0.27,7.9e-01,1.0e+00,0.9998,2784,850,897.9,840.7,708.5,880.3,908.6
GENE-8029,NO,7.6,7,8.2,1.183,0.2,0.74,0.33,7.4e-01,1.0e+00,0.9998,2785,5.9,11,4,8.9,10.8,4.9
GENE-8033,NO,6,8.3,3.6,0.438,-1.2,0.85,-1.41,1.6e-01,1.0e+00,0.9998,2786,8.9,6,9.9,4,1,5.9
GENE-8041,NO,48.3,45.7,50.8,1.11,0.2,0.51,0.3,7.7e-01,1.0e+00,0.9998,2787,29.7,58.7,48.8,68.3,19.7,64.3
GENE-8043,NO,2.3,2,2.7,1.325,0.4,1.2,0.34,7.4e-01,1.0e+00,0.9998,2788,1,3,2,2,2,4
GENE-8049,NO,815.9,770.6,861.1,1.117,0.2,0.26,0.62,5.3e-01,1.0e+00,0.9998,2789,836.1,599.3,876.5,828.2,711.9,1043.2
GENE-8053,NO,2.6,2.3,3,1.28,0.4,1.18,0.3,7.6e-01,1.0e+00,0.9998,2790,4,2,1,4,1,4
GENE-8055,NO,53.7,58,49.4,0.852,-0.2,0.31,-0.75,4.5e-01,1.0e+00,0.9998,2791,58.5,51.8,63.7,44.5,47.3,56.4
GENE-8058,NO,124.2,123.6,124.8,1.01,0,0.24,0.06,9.5e-01,1.0e+00,0.9998,2792,117.9,109.5,143.3,124.7,117.2,132.6
